Czech Republic
Patent		Trademark	IndDes		GDP
1,402		94,370		19,987		296.38		
1,522		91,693		18,041		304.41		
1,637		80,788		14,049		289.67		
1,907		100,713		17,124		296.32		
1,812		111,354		21,426		302.26		
1,886		126,078		28,638		299.84		
2,140		116,088		19,521		298.39		
2,180		101,859		22,117		306.49		
2,366		117,047		23,848		320.40		
2,152		128,566		18,317		328.17		
